114,"The aardvark burrows in the ground and feeds mostly on termites, which it catches with its long, slimy tongue.","","","The nocturnal, insectivorous, burrowing, mammal Orycteropus afer, of the order Tubulidentata, somewhat resembling a pig, common in some parts of sub-Saharan Africa.",50
115,"","","Manila Hemp, Manilla hemp, textile banana","Musa textilis, a species of banana tree native to the Philippines grown for its textile, rope- and papermaking fibre.",51
116,"","","","The nocturnal, insectivorous, mammal, Proteles cristatus, of southern and eastern Africa, related to and resembling the hyena.",52
117,"","","",Abdominal muscle.,53
118,"","","Manila hemp, Manilla hemp","The fiber of this plant, used in rope.",51
119,I walked into the wrong bathroom like a total aardvark.,"","",A silly or credulous person who is prone to mistakes or blunders.,50
120,"","","",A table or tray scattered with sand which was used for calculating or drawing.,54
121,"","","Manila Hemp, Manilla hemp, textile banana","Musa textilis, a species of banana tree native to the Philippines grown for its textile, rope- and papermaking fibre.",56
122,"The aardvark burrows in the ground and feeds mostly on termites, which it catches with its long, slimy tongue.","","","The nocturnal, insectivorous, burrowing, mammal Orycteropus afer, of the order Tubulidentata, somewhat resembling a pig, common in some parts of sub-Saharan Africa.",59
123,The mate sleeps abaft.,"","",On the aft side; in the stern.,60
124,The mate sleeps abaft.,"","",On the aft side; in the stern.,55
125,"","","",Towards the back or rear; backwards.,58
126,"","","",A table or tray scattered with sand which was used for calculating or drawing.,61
127,"The aardvark burrows in the ground and feeds mostly on termites, which it catches with its long, slimy tongue.","","","The nocturnal, insectivorous, burrowing, mammal Orycteropus afer, of the order Tubulidentata, somewhat resembling a pig, common in some parts of sub-Saharan Africa.",62
128,"","","","A coarse, often striped, felted fabric from the Middle East, woven from goat or camel hair.",57
129,I’ve heard merchants still use an abacus for adding things up in China.,"","","A device used for performing arithmetical calculations; a table on which loose counters are placed, or (more commonly) an instrument with beads sliding on rods, or counters in grooves, with one row of beads or counters representing units, the next tens, etc.",54
130,"","","",Backwards.,60
131,"","","",Backwards.,55
132,I’ve heard merchants still use an abacus for adding things up in China.,"","","A device used for performing arithmetical calculations; a table on which loose counters are placed, or (more commonly) an instrument with beads sliding on rods, or counters in grooves, with one row of beads or counters representing units, the next tens, etc.",61
133,I walked into the wrong bathroom like a total aardvark.,"","",A silly or credulous person who is prone to mistakes or blunders.,62
134,"","","",In the rear; a distance behind.,58
135,I walked into the wrong bathroom like a total aardvark.,"","",A silly or credulous person who is prone to mistakes or blunders.,59
136,"","","Manila hemp, Manilla hemp","The fiber of this plant, used in rope.",56
137,"","","","A loose-fitting sleeveless garment, made from aba or silk, worn by Arabs.",57
138,"","","","The uppermost portion of the capital of a column immediately under the architrave, in some cases a flat oblong or square slab, in others more decorated.",54
139,"","","","The uppermost portion of the capital of a column immediately under the architrave, in some cases a flat oblong or square slab, in others more decorated.",61
140,"","","","An outer garment made of the above, very simple in form, worn by the Arabs of the desert. The illustration shows such an aba, made of two breadths of stuff sewed together to make an oblong about four by nine feet.",57
141,"","","",By surprise; startled; dumbfounded. (see usage),58
142,"","","","A board, tray, or table, divided into perforated compartments for holding bottles, cups, or the like; a kind of buffet, cupboard, or sideboard.",54
143,"","","","A board, tray, or table, divided into perforated compartments for holding bottles, cups, or the like; a kind of buffet, cupboard, or sideboard.",61
144,"","","","Backward against the mast; said of the sails when pressed by the wind from the ""wrong"" (forward) side, or of a ship when its sails are set that way.",58
145,"","","",Behind; toward the stern relative to some other object or position; aft of.,63
146,"","","",Behind; toward the stern relative to some other object or position; aft of.,64
147,"","","","An abscess caused by injecting an illegal drug, usually heroin.",65
148,"","","","A form of lava flow associated with Hawaiian-type volcanoes, consisting of basaltic rock, usually dark-colored with a jagged and loose, clinkery surface. Compare pahoehoe.",66
149,"","","",An altazimuth used for astronomy on either land or water.,67
150,"","","",An abacus.,68
151,"","","",Initialism of acting age.,69
152,"","","",To abseil.,71
153,"","","","The electric fish Gymnarchus niloticus (frankfish, freshwater rat-tail, African knifefish), found in swamps, lakes and rivers in Africa.",70
154,"","","",Initialism of alveolar-arterial.,69
155,"","","",Initialism of approximate absolute.,69
156,"","","",(now rare outside medicine) To miscarry; to bring forth (non-living) offspring prematurely.,72
157,"","","",Initialism of armature accelerator.,69
158,"","","",To cause a premature termination of (a fetus); to end a pregnancy before term.,72
159,"","","",Initialism of ascending aorta.,69
160,"","","",To end prematurely; to stop in the preliminary stages; to turn back.,72
161,"","","",Initialism of atomic absorption.,69
162,"","","",To stop or fail at something in the preliminary stages.,72
163,"","","",Initialism of author's alteration.,69
164,"","","","To become checked in normal development, so as either to remain rudimentary or shrink away wholly; to cease organic growth before maturation; to become sterile.",72
165,"","","",Initialism of average audience.,69
166,"","","",To cause an organism to develop minimally; to cause rudimentary development to happen; to prevent maturation.,72
167,"","","",To abandon a mission at any point after the beginning of the mission and prior to its completion.,72
168,"","","",Initialism of arctic-alpine.,73
169,"","","",To terminate a mission involving a missile or rocket; to destroy a missile or rocket prematurely.,72
170,"","","",Initialism of always afloat.,73
171,"","","",To terminate a process prior to completion.,72
172,"","","","A clear colourless organic acid, CH3COOH, formed by the oxidation of ethanol; it is used as a solvent and has very many industrial applications; it is the major acidic component of vinegar.",74
173,"","","","The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion.",75
174,"","","",An aborted foetus; an abortus.,75
175,"","","",Any organic compound containing both an amino and a carboxylic acid functional group.,76
176,"","","",A misshapen person or thing; a monstrosity.,75
177,"","","","Any of the twenty naturally occurring α-amino acids (having the amino, and carboxylic acid groups on the same carbon atom), and a variety of side chains, that combine, via peptide bonds, to form proteins.",76
178,"","","","Failure or abandonment of a project, promise, goal etc.",75
179,"","","","Arrest of development of any organ, so that it remains an imperfect formation or is absorbed.",75
180,"","","","1-amino-2-propanone, a secondary amino ketone",77
181,"","","",The cessation of an illness or disease at a very early stage.,75
182,I looked about at the scenery that surrounded me.,"","",On all sides; around.,78
183,"","","","A long-chain polyunsaturated fatty acid, having 20 carbon atoms and four double bonds, found in animal fats; it is essential for human nutrition, being a precursor to the production of prostaglandins.",79
184,Bits of old machinery were lying about.,"","",Here and there; around; in one place and another; up and down.,78
185,walking about;  rushing about;  jumping about;  thrashing about,"","",From one place or position to another in succession; indicating repeated movement or activity.,78
186,messing about;   fooling about;  loafing about,"","",Indicating unproductive or unstructured activity.,78
187,"","","",Abbreviation of ana.,80
188,Dinner's about ready.,"","","Nearly; approximately; with close correspondence in quality, manner, degree, quantity, or time; almost.",78
189,"","","",Near; in the vicinity.,78
190,to face about;  to turn oneself about,"","",To a reversed order; half round; facing in the opposite direction; from a contrary point of view.,78
191,"","","",In succession; one after another; in the course of events.,78
192,"a mile about, and a third of a mile across","","",In circuit; circularly; by a circuitous way; around the outside; in circumference.,78
193,The snake was coiled about his ankle.,"","",In a circle around; all round; on every side of; on the outside of.,81
194,He was well known about town.,"","",Over or upon different parts of; through or over in various directions; here and there in; to and fro in; throughout.,81
195,"","","",Indicates that something will happen very soon; indicates a plan or intention to do something.,81
196,He talked a lot about his childhood.,"","apropos, as for",Concerning; with regard to; on account of; on the subject of; to affect.,81
197,to be about one's business,"","",Concerned with; engaged in; intent on.,81
198,"I can't find my reading glasses, but they must be somewhere about the house.","","","Within or in the immediate neighborhood of; in contiguity or proximity to; near, as to place.",81
199,I had no weapon about me but a stick.,"","",On one's person; nearby the person.,81
200,He has his wits about him.,"","","In or near, as in mental faculties or in the possession of; under the control of; at one's command; in one's makeup.",81
201,"","","",The early stages of; the beginning process; the start.,82
