19,/ˈɑɹdˌwʊlvz/,"","",60
20,/əˈbæft/,"","",63
21,/əˈbɑː/,"","",64
22,/əˈbæft/,"","",59
23,/-saɪ/,"","",62
24,/-saɪ/,"","",67
25,/əˈbæk/,"","",68
26,/ˌæb.əˈkɑ/,"","",69
27,/æb/,"","",65
28,/ˈɑːd.vɑːk/,"","",58
29,/ˈɑːd.vɑːk/,"","",70
30,/-ˌsaɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/abacus-us.mp3,https://commons.wikimedia.org/w/index.php?curid=1755003,62
31,/əˈbæft/,https://api.dictionaryapi.dev/media/pronunciations/en/abaft-us.mp3,https://commons.wikimedia.org/w/index.php?curid=1755004,63
32,/ˌæb.əˈkɑ/,"","",69
33,/əˈbɑ/,"","",64
34,/əˈbæk/,https://api.dictionaryapi.dev/media/pronunciations/en/aback-us.mp3,https://commons.wikimedia.org/w/index.php?curid=68433901,68
35,/əˈbæft/,https://api.dictionaryapi.dev/media/pronunciations/en/abaft-us.mp3,https://commons.wikimedia.org/w/index.php?curid=1755004,59
36,/ˈɑɹd.vɑɹk/,https://api.dictionaryapi.dev/media/pronunciations/en/aardvark-us.mp3,https://commons.wikimedia.org/w/index.php?curid=50309155,58
37,/-ˌsaɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/abacus-us.mp3,https://commons.wikimedia.org/w/index.php?curid=1755003,67
38,/ˈɑɹd.vɑɹk/,https://api.dictionaryapi.dev/media/pronunciations/en/aardvark-us.mp3,https://commons.wikimedia.org/w/index.php?curid=50309155,70
39,/ˈɑː.ɑː/,"","",71
40,/æb/,"","",72
41,/ˈɑ.ɑ/,"","",71
42,/ˈæ.bə/,"","",73
43,/əˈbæk/,"","",74
44,/əˈbæk/,https://api.dictionaryapi.dev/media/pronunciations/en/aback-us.mp3,https://commons.wikimedia.org/w/index.php?curid=68433901,74
45,/æb/,"","",75
46,/æb/,"","",79
