58,/ˈɑːd.vɑːk/,"",https://en.wiktionary.org/wiki/aardvark,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aardvark
59,/əˈbæft/,"",https://en.wiktionary.org/wiki/abaft,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abaft
60,/ˈɑɹdˌwʊlvz/,"","https://en.wiktionary.org/wiki/aardwolf, https://en.wiktionary.org/wiki/aardwolves",CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aardwolves
61,"","","https://en.wiktionary.org/wiki/abaca, https://en.wiktionary.org/wiki/abacas",CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abacas
62,/-saɪ/,"",https://en.wiktionary.org/wiki/abacus,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abacus
63,/əˈbæft/,"",https://en.wiktionary.org/wiki/abaft,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abaft
64,/əˈbɑː/,"",https://en.wiktionary.org/wiki/aba,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aba
65,/æb/,"",https://en.wiktionary.org/wiki/ab,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,ab
66,"","","https://en.wiktionary.org/wiki/aardvark, https://en.wiktionary.org/wiki/aardvarks",CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aardvarks
67,/-saɪ/,"",https://en.wiktionary.org/wiki/abacus,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abacus
68,/əˈbæk/,"",https://en.wiktionary.org/wiki/aback,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aback
69,/ˌæb.əˈkɑ/,"",https://en.wiktionary.org/wiki/abaca,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,abaca
70,/ˈɑːd.vɑːk/,"",https://en.wiktionary.org/wiki/aardvark,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aardvark
71,/ˈɑː.ɑː/,"",https://en.wiktionary.org/wiki/aa,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aa
72,/æb/,"",https://en.wiktionary.org/wiki/ab,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,ab
73,/ˈæ.bə/,"",https://en.wiktionary.org/wiki/aba,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aba
74,/əˈbæk/,"",https://en.wiktionary.org/wiki/aback,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aback
75,/æb/,"","https://en.wiktionary.org/wiki/ab, https://en.wiktionary.org/wiki/abort, https://en.wiktionary.org/wiki/abortion, https://en.wiktionary.org/wiki/about",CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,ab
76,"","","https://en.wiktionary.org/wiki/aa, https://en.wiktionary.org/wiki/acetic%20acid, https://en.wiktionary.org/wiki/amino%20acid, https://en.wiktionary.org/wiki/aminoacetone, https://en.wiktionary.org/wiki/arachidonic%20acid",CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aa
77,"","",https://en.wiktionary.org/wiki/aba,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aba
78,"","",https://en.wiktionary.org/wiki/aa,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,aa
79,/æb/,"",https://en.wiktionary.org/wiki/ab,CC BY-SA 3.0 - https://creativecommons.org/licenses/by-sa/3.0,ab
